#{"t_start": 1670801145.4956353, "env_id": "LunarLander-v2"}
r,l,t
-113.323062,114,3.171282
-328.411546,99,3.742517
-115.530644,124,4.545162
-110.9162,88,5.154779
-157.333192,115,5.953171
-95.416993,68,6.454988
-258.745267,94,7.13434
-182.34702,116,7.860615
-153.385412,112,8.544179
-121.699831,65,8.931156
-287.613341,124,9.644967
-396.964986,89,10.185241
-348.554935,96,10.768797
-119.987091,90,11.30231
-86.804569,64,11.680388
-47.627801,86,12.172944
-70.812778,72,12.560797
-193.556539,122,13.23272
-6.79346,85,13.686648
-6.696567,86,14.138799
-153.601911,110,14.717759
-94.212669,71,17.812481
-140.99442,71,18.202236
-99.702851,116,18.861373
-183.688072,101,19.549611
-251.096296,101,20.234751
-97.758167,128,21.12312
-358.55062,79,21.676495
-230.536048,79,22.161469
-308.746404,100,22.729985
-82.501935,84,23.217555
-157.298696,92,23.733441
-440.740002,83,24.189383
-374.208753,114,24.833005
-289.088579,94,25.379304
-325.070145,78,25.826424
-112.904369,95,26.36303
-249.420168,108,26.944797
-292.677228,87,27.41225
-197.39876,102,27.966291
-46.870565,65,28.309916
-304.529222,91,28.794586
-112.296284,101,29.338795
-136.941979,122,32.694816
-35.717337,110,33.302997
-205.190528,96,33.930612
-146.066305,63,34.355353
-57.665318,63,34.777223
-282.727302,113,35.533404
-112.287107,86,36.108491
-75.083279,67,36.541414
-148.639401,73,36.965797
-55.637995,64,37.338174
-137.998936,92,37.866117
-103.396867,74,38.290748
-456.623049,94,38.81399
11.336824,98,39.383476
-77.450989,67,39.76468
-161.515826,88,40.276521
-237.060603,112,40.934659
-183.379797,103,41.507155
-136.97313,83,41.944249
-184.696057,75,42.335936
-115.076642,70,42.706199
-119.988742,102,43.240728
-53.528308,90,43.723789
23.350469,86,46.877934
-84.38825,64,47.211312
-135.298382,85,47.696509
-90.833015,92,48.243718
-64.667096,90,48.828032
-79.833823,64,49.24256
-441.319391,92,49.848395
-217.820477,125,50.662848
-110.220679,77,51.161896
-70.141256,69,51.574728
-134.641283,94,52.120071
-92.006378,100,52.698254
-45.054339,110,53.341243
-295.260832,101,53.922992
-99.994113,67,54.308637
-205.662573,95,54.860499
-66.884694,112,55.497481
-262.696789,100,56.043015
-239.129323,123,56.715234
-149.823213,84,57.160625
-139.002175,90,57.650371
-118.613468,83,58.092512
-81.904285,90,58.575468
-80.481072,80,61.714993
-117.985766,86,62.190487
-102.156252,98,62.761673
-82.244488,66,63.17573
-81.994319,75,63.668067
-91.099013,115,64.401345
-74.614479,79,64.926391
-89.231491,86,65.483354
-119.310079,95,66.071061
-166.805889,80,66.532268
-137.569025,107,67.145211
-315.892966,110,67.811983
-56.71681,78,68.271206
-95.796542,92,68.794013
-185.620691,81,69.25065
-133.947239,109,69.887908
-290.019416,93,70.410902
-190.897253,105,70.969041
-228.802819,78,71.401405
-257.133676,94,71.903722
-140.612598,114,72.498665
-107.134418,82,72.937574
-300.835603,137,76.322563
-117.944364,82,76.782057
-70.846336,74,77.205497
-148.839459,91,77.77609
-106.934402,95,78.398526
-140.094368,95,79.016874
-65.94446,71,79.473891
-254.995735,104,80.151923
-85.928879,69,80.601313
-137.777856,91,81.130764
-133.471879,93,81.65232
-72.868928,87,82.143492
-108.082084,78,82.611958
-249.003703,120,83.302881
-94.055268,72,83.71341
-219.474768,127,84.456422
-113.859322,71,84.857157
-117.421606,81,85.288863
-110.786365,81,85.721618
-91.430761,78,86.131636
-32.827401,99,86.665027
-96.258373,87,87.130422
-60.771497,82,87.570481
-54.933064,76,90.672014
-74.445072,114,91.287944
-224.198391,113,91.940485
-93.761491,74,92.412381
