#{"t_start": 1670715097.6045406, "env_id": "LunarLander-v2"}
r,l,t
-198.121995,122,6.320478
-102.102702,104,7.053832
-126.481405,111,7.669297
-95.844294,106,8.255908
-249.220613,123,9.027028
-106.483084,68,9.478396
-124.312616,70,9.881386
-197.761872,123,10.674389
-112.593222,72,11.191734
-162.146824,101,11.771776
-442.693483,119,12.547617
-167.387423,131,13.3391
-344.933767,80,13.753999
-113.583222,70,14.114531
-43.981997,120,14.760186
-232.627635,100,15.290806
-443.753105,101,15.834681
-164.594401,74,16.229204
-117.208694,96,16.757946
-99.181805,69,17.123875
-296.885871,84,17.617959
-134.44616,80,21.39968
-56.280864,68,22.040763
-220.01841,90,22.782646
-66.354152,69,23.309549
-452.646008,98,23.948846
-84.093348,67,24.381268
-123.089256,73,24.842194
-341.135518,79,25.345221
-68.288532,61,25.728585
-149.246767,83,26.264992
-123.374352,94,26.86983
-82.110912,69,27.252304
-377.179772,116,27.915228
-309.422596,100,28.504746
-112.451314,65,28.878332
-166.625862,106,29.496073
-398.856486,99,30.032074
-138.337111,82,30.489191
-234.863747,96,31.02048
-93.111351,75,31.437074
-530.883408,94,31.961517
-140.050985,74,32.379462
4.17432,88,32.909955
-281.832563,80,33.421641
-81.336386,65,41.542748
-65.504847,75,42.226659
-107.04124,83,42.911971
-209.605625,117,43.943741
-145.127758,67,45.311502
-80.102403,77,46.904971
-174.6433,114,49.325346
-96.205418,85,50.33239
-112.298871,114,50.950085
-267.545507,77,51.383912
-102.820315,71,51.786383
-134.336938,84,53.21555
-134.681197,59,54.329879
-42.69139,70,55.865826
-121.880905,90,57.748458
-115.625335,102,58.696398
-80.054997,103,59.241567
7.772655,78,59.692123
-210.836276,103,60.279856
-167.334178,111,60.897604
-260.335434,84,61.352119
-71.950822,67,61.744137
-107.059117,99,63.78102
-462.869929,80,65.498432
-117.438512,92,76.79812
-68.534281,97,77.854779
-83.25833,84,78.37995
-139.027975,112,78.999927
-276.753964,82,79.4692
-231.299236,93,79.986012
15.727996,67,80.349236
-115.778261,81,80.843873
-220.820271,61,81.978051
-309.871894,135,84.824255
-76.232393,114,87.33022
-79.202354,64,88.157686
-392.206195,114,88.794765
-234.333444,124,89.49775
-134.782616,86,89.973805
-205.831586,109,90.568486
-460.505823,95,91.097179
-46.080791,63,91.459364
-305.811912,103,92.067706
-176.740111,78,92.489918
-323.03442,123,94.651806
-290.925115,95,101.729768
-97.976887,134,102.660793
-110.351904,96,103.212796
-314.761176,85,104.68643
-110.815314,92,106.542802
-120.400391,64,107.870243
-104.345893,69,108.796807
-137.94688,84,109.777197
-147.954397,71,110.377802
-165.174397,132,111.380835
-116.911089,108,112.011182
-64.549425,95,112.535044
-261.860804,102,113.182861
-142.573266,107,113.863706
-313.25149,112,114.549901
-74.092132,80,115.029232
-175.425593,91,115.582042
-48.983184,151,116.508334
-109.86493,73,116.940441
-180.123767,114,117.658326
-154.296077,110,118.432745
-76.272697,95,122.419794
-85.56228,73,123.032903
-93.713874,68,123.554797
-36.885772,146,124.439856
-49.889139,72,124.83427
-126.406057,116,125.47878
-312.761801,102,126.105947
-213.0552,115,126.81227
-63.970717,69,127.207296
-94.97113,126,127.876457
-116.004206,103,128.494994
-109.493843,84,128.983149
-87.370556,127,129.745116
-46.952568,83,130.261814
-233.773437,122,131.014039
-58.389231,68,131.439837
-109.404761,71,131.875765
-8.446446,116,132.578604
-148.767943,100,133.188606
-203.381983,116,133.874385
-101.232113,136,134.838859
-240.19014,127,139.02577
-183.668114,131,139.963517
-83.610277,108,140.627963
-121.473463,93,141.181155
-26.11021,109,141.837853
-220.168345,140,142.659633
-332.822896,122,143.419224
-100.206646,127,144.209041
-137.33246,106,144.849383
-90.240864,88,145.380596
-60.620531,73,145.812059
-108.927969,115,146.518384
-419.165805,135,147.259721
-136.473238,100,147.887677
-48.955449,106,148.519339
-90.158362,136,149.350497
-73.250266,111,150.106364
-94.105207,66,150.624721
-77.716255,138,155.003179
-57.223076,86,155.610754
-61.075969,96,156.186311
-118.984855,73,156.585844
-82.798776,104,157.166552
-66.956476,125,157.859457
-291.660129,109,158.471781
-101.878522,101,159.026904
-147.646051,168,159.935453
-87.598611,87,160.403034
-86.162969,134,161.138546
-107.706599,99,161.732337
-95.811091,98,162.351828
-120.589694,140,163.262083
-206.720684,87,163.834621
-316.887942,134,164.705377
-285.599775,93,165.311187
-46.657325,75,165.800557
-462.054879,112,166.548664
-72.894159,75,170.502939
-100.646272,78,171.183542
-111.402114,106,171.925936
-94.981849,92,172.426524
-79.668884,86,172.899657
-187.733213,106,173.522187
-286.962253,102,174.133126
-112.561118,102,174.738382
-75.561068,95,175.318429
-104.232327,105,175.950883
-77.565661,93,176.52354
-204.946714,108,177.193204
-241.256224,125,177.978971
-150.181953,111,178.700602
-240.221928,129,179.518057
-148.974894,99,180.156564
-362.001226,125,180.925776
-297.946646,103,181.602411
-131.174178,96,182.293319
-121.437332,87,182.89097
-78.112174,115,186.738986
-162.333628,96,187.55205
-83.720134,77,188.214483
-276.478654,116,189.204434
-127.733794,101,189.961709
-209.553774,88,190.539504
-68.836318,69,190.925716
-216.489386,123,191.648138
-119.165749,123,192.372974
-64.500879,79,192.816906
-195.077734,128,193.599781
-25.016643,113,194.288748
-73.131124,85,194.799021
-117.008126,117,195.466283
-20.218371,74,195.940944
-195.175324,115,196.750725
-113.202957,114,197.546824
-103.521661,86,198.137527
-236.236344,170,199.308528
-156.503767,154,203.455053
-118.850598,112,204.327062
-259.387192,130,205.302522
-103.408892,87,205.786456
-75.224804,84,206.325166
-4.51438,128,207.209129
-57.230538,76,207.67758
-71.897784,66,208.068418
-192.404621,118,208.869084
-71.882074,135,209.808778
-175.267103,131,210.783293
-331.59332,136,211.706858
-57.308499,146,212.782228
-181.901413,84,213.39396
-63.709433,159,214.541906
-273.701157,111,215.32952
-73.614912,94,216.025501
-80.144841,89,216.781877
-74.126304,77,217.456065
-22.965467,160,221.810916
-133.044437,111,222.588465
-72.198181,97,223.293802
-83.061701,116,224.125464
-86.768836,121,224.890895
-41.83272,118,225.554297
-94.978166,78,225.979663
-5.173172,141,226.757561
-60.323391,112,227.373976
-116.242298,88,227.847772
-104.02781,141,228.686543
-134.660421,181,229.916458
-64.33276,170,231.032513
-68.169061,104,231.683433
-108.948003,132,232.579131
-143.764086,103,233.46262
-137.020442,113,234.37218
22.084794,128,238.241993
-70.389496,84,238.771029
-172.464876,148,239.687759
-229.791116,117,240.422869
-115.994399,97,241.010201
-121.239365,136,241.842316
-110.61841,76,242.316978
-72.740527,128,243.046521
-34.390866,117,243.674859
-84.936217,158,244.65565
-40.500739,104,245.288486
-39.992135,172,246.296818
-49.412194,129,247.072628
-162.593631,82,247.563807
-97.459978,147,248.468101
