#{"t_start": 1670798576.5895605, "env_id": "LunarLander-v2"}
r,l,t
-261.128665,106,2.519959
-125.300828,88,2.972811
-108.009143,111,3.558864
-211.602466,105,4.124072
-165.551702,111,4.719938
-409.340549,100,5.240752
-351.404096,98,5.722596
-199.411661,123,6.330482
-103.856042,99,6.819916
-171.561041,80,7.204398
-153.246952,119,7.776251
-137.190228,85,8.192018
-228.501622,71,8.542706
-244.177743,91,9.005374
-247.911706,115,9.571806
-395.495339,109,10.108381
-176.792955,103,10.601609
-152.217243,98,11.07801
-160.978839,58,11.351098
-338.153356,85,11.761692
-300.323639,94,14.363365
-388.153893,82,14.771559
-44.302717,102,15.278801
-110.42564,59,15.587052
-121.402691,104,16.12987
-440.758879,98,16.648468
-177.082787,77,17.056871
-322.162839,101,17.566352
-148.397935,80,17.956217
-126.785534,83,18.357392
-105.96735,95,18.824444
-13.592348,91,19.261811
-147.606342,122,19.855546
-139.182805,104,20.356713
-367.031781,97,20.829957
-69.407934,58,21.115587
-35.428867,76,21.479471
-225.22052,78,21.863112
-173.535094,100,22.364192
-356.283759,111,22.90193
-271.024519,93,23.349073
-133.171772,129,23.98116
-122.220499,120,26.640866
-105.084828,118,27.211953
-123.849925,104,27.754055
-378.456468,114,28.355225
-91.799611,125,28.998051
-229.167296,83,29.445769
-298.271953,101,29.943536
-129.291515,85,30.356229
13.820132,95,30.830506
-168.806056,88,31.260211
-109.479174,81,31.654818
-337.176661,91,32.100752
-94.211685,81,32.499841
-147.384294,115,33.053365
-335.50912,116,33.614943
-186.790233,86,34.030412
-200.096426,102,34.52095
-221.255315,87,34.937501
-94.569865,102,35.433205
-251.332569,119,36.013446
-61.695138,100,36.504077
-157.135895,97,39.214296
-101.865183,79,39.613719
-419.162719,102,40.155765
-148.158797,80,40.569312
-390.771624,83,41.016042
-123.693884,81,41.445024
-157.009146,74,41.827696
-145.404724,94,42.28059
-109.323515,81,42.681199
-103.412616,114,43.239147
-168.446905,149,43.978162
-87.982859,87,44.40193
-66.584418,85,44.821771
-104.08926,94,45.284106
-65.392397,97,45.754621
-289.847811,113,46.313785
-114.780053,103,46.810966
-126.420559,115,47.371557
-32.567198,155,48.137745
-143.904214,84,48.53592
-245.112655,75,48.903435
-152.345389,75,51.368136
-26.301379,85,51.802623
-291.146936,93,52.297536
-56.858005,78,52.709813
-123.005563,82,53.145481
-84.998846,112,53.738129
-284.512355,85,54.148393
-51.402684,89,54.588773
-87.461757,85,54.998453
-154.034451,101,55.497227
-153.756641,79,55.882708
-240.202416,114,56.448069
-237.194302,121,57.030991
-98.443771,70,57.373143
-101.722505,98,57.852823
-110.643261,127,58.476084
-68.278308,65,58.793434
-83.783759,81,59.178618
-219.906817,161,59.97521
-143.691942,152,60.726717
-109.175166,86,61.154883
-124.038104,93,63.746372
-127.956655,120,64.376542
-124.842774,93,64.865006
-384.04875,111,65.459993
-289.367669,104,65.988113
-350.356706,94,66.453472
-196.164407,107,67.003206
-254.400097,103,67.51706
-66.035205,79,67.9101
-105.342571,159,68.716163
-43.98245,77,69.109776
-150.310068,75,69.481579
-185.744002,95,69.955244
-76.70353,89,70.408315
-43.875611,76,70.781937
-332.849175,143,71.491806
-57.198075,68,71.827245
