#{"t_start": 1670715097.6045296, "env_id": "LunarLander-v2"}
r,l,t
-129.098356,139,6.433316
-227.152662,67,6.941155
-180.923698,104,7.620935
-67.389884,99,8.222714
-128.892022,92,8.804668
-79.150076,121,9.558863
-104.565626,63,9.941823
-155.15559,62,10.432481
-81.84198,59,10.876292
-239.594076,111,11.647887
-113.531024,62,12.044849
-465.408322,93,12.687405
-78.178857,69,13.111854
-411.026155,101,13.743161
-142.926136,90,14.322595
-81.717379,78,14.796916
-311.81326,104,15.446647
-83.256997,77,15.929166
-204.065929,106,16.571941
-227.319314,79,17.000545
-94.980317,65,17.358107
-341.421056,88,17.981661
-353.945554,85,18.571594
-153.696496,82,22.524133
-69.591188,97,23.221354
-64.833525,103,23.803374
-84.042339,65,24.175734
-67.452021,76,24.609754
-100.852517,148,25.463885
-10.34228,109,26.102852
-277.369402,128,26.863824
-226.652046,117,27.544181
-136.994433,86,28.080001
-226.72675,125,28.79396
-20.776196,92,29.308917
-155.611143,130,30.033443
-72.133485,78,30.482388
-191.736602,98,31.036481
-163.966036,110,31.614873
-103.357187,103,32.17475
-113.073562,104,32.743904
-128.047057,83,33.255251
-188.669366,141,34.162901
-362.017471,132,43.013639
-81.639674,64,43.521678
-115.685775,89,44.93775
-88.252981,110,47.169347
-254.77958,67,48.515754
-109.715206,95,50.188401
-126.948149,105,50.743513
-106.78984,115,51.392557
-90.761088,75,51.828569
-74.188392,74,53.199873
-87.297116,95,55.112655
-98.98026,64,56.459882
-157.723542,79,58.067992
-327.933285,136,58.959134
-421.641977,127,59.656211
-97.270545,156,60.551785
-151.951865,58,60.874189
-77.071241,71,61.26269
-176.150186,133,62.762624
-91.666773,96,64.714454
-90.194145,68,66.110729
-96.842602,88,77.443295
-239.005359,108,78.141083
-302.355232,107,78.730301
-466.121718,99,79.276798
-9.565484,80,79.707307
-164.291348,84,80.174826
-81.424885,76,80.580407
-212.69086,115,82.188056
-454.330099,97,84.191158
-93.183062,81,85.728224
-112.960925,71,87.266847
-82.734656,79,88.240724
-140.81748,101,88.813047
-76.302231,106,89.44167
-152.842376,127,90.138856
-272.823155,106,90.687493
-157.344667,88,91.18571
-486.053273,103,91.730168
-285.404195,142,92.514391
-65.571885,127,94.735061
-374.724228,127,101.919073
-116.996173,98,102.580938
-202.459041,138,103.370092
-113.920268,115,105.669696
-94.627136,76,107.250972
-368.268123,125,109.077969
-129.200639,128,110.26703
-256.380979,76,111.039713
-83.872947,62,111.378955
-229.315451,94,111.906002
-106.37488,86,112.420605
-122.697004,107,113.058586
-325.794994,150,113.969649
-134.463825,85,114.48165
-237.183896,81,114.968451
-279.782459,94,115.50437
-77.913715,92,116.047219
-111.709041,136,116.834228
-127.907492,70,117.247466
-331.139843,124,118.001923
-132.589687,78,118.562524
-126.292909,96,122.588746
-203.990567,111,123.450842
-95.886003,56,123.792919
-118.0038,119,124.492304
-99.259296,115,125.171683
-97.76172,116,125.851716
-160.247393,134,126.620586
-73.832038,83,127.105649
-207.446953,116,127.775865
-130.964748,94,128.326668
-152.807626,131,129.083066
-115.096849,76,129.525482
-114.108737,83,130.011382
-196.015749,109,130.673898
-118.535598,115,131.355206
-158.352339,115,132.03718
-55.587771,81,132.510875
-23.277011,81,133.012373
-83.054114,92,133.576737
-121.832284,77,134.107503
-257.637626,146,138.462233
-109.499786,84,139.103696
-66.110798,70,139.581743
-267.904447,125,140.244332
-187.104867,86,140.695781
-74.695585,71,141.061661
-302.300232,112,141.690469
-222.817366,121,142.308608
-29.07831,149,143.072246
-12.006312,148,143.866783
-151.466234,115,144.660243
-98.688799,101,145.290063
-83.516167,127,146.032091
