#{"t_start": 1670800711.932654, "env_id": "LunarLander-v2"}
r,l,t
-261.128665,106,2.959279
-125.300828,88,3.479459
-108.009143,111,4.092787
-211.602466,105,4.694912
-165.551702,111,5.391866
-409.340549,100,6.021601
-351.404096,98,6.62014
-199.411661,123,7.446552
-103.856042,99,8.120095
-171.561041,80,8.624182
-153.246952,119,9.376343
-137.190228,85,9.922345
-228.501622,71,10.348012
-244.177743,91,10.862589
-247.911706,115,11.487669
-395.495339,109,12.075166
-176.792955,103,12.627004
-152.217243,98,13.164334
-160.978839,58,13.472813
-338.153356,85,13.930975
-300.323639,94,17.368728
-418.180071,84,17.860064
-128.337962,70,18.261983
28.769406,145,19.045659
-143.48129,70,19.436539
-162.46949,85,19.952325
-51.063813,101,20.590437
-120.295264,82,21.102109
-109.563723,80,21.607251
-242.669592,94,22.217815
-358.119704,81,22.754788
-325.552887,123,23.530963
-202.195327,91,24.113226
-108.716795,97,24.705832
-161.398376,66,25.091508
-79.0433,65,25.454425
-193.572061,97,25.969465
-221.011159,61,26.292334
-123.034867,87,26.751102
-284.516932,97,27.278248
-73.014084,96,27.788443
-158.616105,70,28.154493
-127.761993,83,28.592432
-295.399434,87,29.050137
