#{"t_start": 1670798641.3759959, "env_id": "LunarLander-v2"}
r,l,t
-117.674835,168,176.894552
-264.321808,91,177.398333
-101.665253,210,178.516001
-353.372851,132,179.173167
-130.250025,153,179.947537
-181.338749,151,180.697518
-188.128165,139,184.077199
-48.783746,149,184.839477
-71.944742,161,185.65196
-395.083875,220,186.854857
-78.602044,161,187.724854
-185.773341,149,188.481916
-309.242398,170,189.38255
11.738852,123,190.068424
-238.86757,192,191.134688
-261.829015,150,191.901284
-171.642524,123,192.531257
-234.216132,153,193.311659
-570.390637,122,193.924008
-320.640754,187,197.587737
-49.289986,213,198.69848
-161.772174,213,199.885397
20.75998,144,200.662572
-358.321693,276,202.070984
-69.759645,225,203.29508
-17.722193,249,204.640387
-284.57157,252,205.891894
-113.048498,157,206.696348
2.068137,193,210.385889
-82.090726,125,211.043731
-4.602511,145,211.850886
-230.592607,223,213.095781
-155.700469,147,213.856231
-259.31252,210,214.910355
-272.132608,239,216.202824
-101.637349,223,217.442457
-88.887424,243,218.717698
-9.685665,164,219.584474
-37.349642,226,220.733292
-31.406787,132,224.134288
-70.424523,209,225.278705
-325.412799,389,227.399673
-162.938707,273,228.789148
-212.24699,225,230.031054
-132.012451,162,230.925656
-2.718863,202,231.947752
-208.361234,150,232.714614
-146.114546,200,233.735766
-12.41987,201,234.810062
-251.82772,181,238.539926
-4.16037,180,239.591856
-214.355623,204,240.682855
-47.959425,181,241.59945
6.473663,1000,247.136338
-158.710648,140,247.873176
-131.197664,285,252.15806
-69.774194,254,253.50635
-142.588316,219,254.608054
-227.244652,203,255.657522
-210.937475,228,256.907232
-82.116641,232,258.129121
51.587848,206,259.205857
9.992462,177,260.112038
-205.401789,263,261.483051
54.539508,1000,269.547908
-202.045829,363,271.484074
-89.378526,296,273.009986
-59.961407,234,274.194803
53.186049,1000,282.339418
-16.426265,227,283.616291
-33.996391,244,284.878801
-7.186928,182,285.817689
-263.930388,181,286.734913
0.502702,145,287.468581
-41.898198,262,288.88665
-167.025015,342,293.47122
30.138617,200,294.498653
-18.105743,233,295.77156
-87.130704,333,297.543321
3.622756,169,298.413651
-14.989827,228,299.630619
-78.420238,312,301.251198
-41.18472,189,302.295902
-89.837317,251,306.408218
-112.006922,231,307.597372
-3.245444,150,308.417165
-49.786052,183,309.421085
-119.14825,225,310.65521
-249.44378,306,312.212369
-186.779403,223,313.385324
-111.856521,260,314.759215
-239.758568,353,316.718582
-51.233357,256,320.725094
-80.041467,194,321.757449
-24.108926,142,322.5304
-62.675892,195,323.624187
-12.411846,242,324.868344
-134.827106,208,325.938075
-137.421188,199,326.958948
-136.988914,302,328.574742
-78.682037,198,329.667153
-85.192105,234,333.546856
-151.793476,186,334.518476
-195.69373,290,336.142162
-105.634633,338,337.913723
-35.268346,266,339.323311
-220.588605,186,340.316631
-163.237487,217,341.458917
-50.78013,210,342.631418
-46.12471,266,346.721649
-152.623457,299,348.315015
-14.714292,242,349.636989
-156.525764,375,351.626315
-16.995361,220,352.761742
-67.180735,269,354.078134
-133.707345,179,355.025542
-68.534725,229,356.299826
-101.34092,296,360.469495
-17.100511,226,361.651715
-87.586861,301,363.307209
8.004522,157,364.099192
-51.850454,205,365.119609
-71.080019,279,366.5215
-177.172235,290,367.956799
-67.657774,437,370.423928
-32.510912,284,374.41104
-147.71272,296,376.036452
-199.074592,580,379.043733
-80.608464,273,380.436043
-5.948325,226,381.569052
-168.740326,527,387.042347
0.376945,173,387.935032
-45.264156,1000,393.348904
-60.667389,367,395.253323
-136.210174,247,396.666608
65.912382,1000,404.67926
22.585464,1000,409.908143
-214.117844,265,413.835576
30.28299,176,414.776102
-12.940604,1000,420.075493
0.744548,251,421.352233
-13.704556,338,423.225548
152.479997,865,430.464346
49.661817,1000,435.579063
-48.83821,497,440.506237
-44.273955,205,441.631113
40.283705,1000,446.765071
-38.91393,396,448.837857
86.088321,1000,456.821929
89.744878,992,461.952717
51.752238,237,463.310677
76.492883,1000,471.120077
-82.430159,268,472.467698
-11.996176,416,474.618926
-8.430484,333,476.435241
-25.40578,293,480.560035
56.752676,1000,485.700741
-20.504492,164,486.53816
-23.792618,247,487.909929
-3.314472,207,489.001812
-7.176063,257,490.378386
-109.435472,692,496.61577
38.411437,1000,501.929719
-0.58083,287,503.439891
45.637818,208,507.134418
202.219475,562,510.053257
66.81434,1000,515.424393
-71.945052,650,521.505178
35.217909,1000,526.882437
-40.66659,341,528.637173
-42.138637,279,530.068548
-8.070987,1000,538.063346
116.964278,806,542.356821
104.188245,1000,550.364296
6.947694,1000,555.709718
-193.236658,904,563.235545
-56.269417,411,565.413661
181.984743,922,570.1536
-225.762775,967,578.092617
58.788461,1000,583.367978
25.808123,1000,591.464506
113.073325,1000,596.706346
97.008978,1000,604.938225
81.321199,1000,610.152981
-45.665276,385,612.277318
62.905638,1000,620.379882
-82.912568,582,623.31913
86.577581,1000,631.47641
-58.858267,413,633.58178
66.689319,1000,638.904128
177.111322,619,644.972561
