#{"t_start": 1670715097.604537, "env_id": "LunarLander-v2"}
r,l,t
-384.083508,100,6.11821
-107.992599,66,6.59725
-100.51635,102,7.215187
-114.342978,123,7.90796
-206.844199,129,8.656625
-82.822171,74,9.1498
-127.53351,92,9.711596
-373.821263,108,10.3633
-98.690972,101,11.106471
-162.038125,82,11.692619
-211.831391,99,12.401083
-207.89805,79,13.03092
-127.658015,76,13.580967
-245.894508,135,14.530803
-119.324712,83,15.126827
-185.872789,83,15.725426
-168.084323,82,16.318274
-308.205729,125,17.225172
-200.628475,109,18.127504
-145.59228,99,18.998258
-260.783098,69,19.687269
-153.56634,86,23.454018
-91.619198,81,23.930358
-128.734257,102,24.513588
-257.140106,100,25.082973
-122.863794,72,25.491932
-110.875199,84,25.981514
-172.539056,95,26.557634
-116.680597,85,27.062498
-279.517278,141,27.978029
-215.944145,96,28.534685
-144.480021,109,29.140091
-106.588394,78,29.586385
-198.326488,126,30.294039
-109.96899,64,30.656507
-224.808881,77,31.12537
-361.711167,102,31.880704
-120.676396,91,32.506179
-189.180827,88,33.152032
-116.582921,77,33.715234
-143.185561,81,34.546167
-96.88187,97,36.739836
-79.989513,68,38.237333
-319.449108,101,43.799217
-80.460592,94,45.771761
-279.042858,126,48.388627
-253.582099,67,49.818261
-158.073573,137,50.720103
-45.273557,71,51.110002
-104.243001,79,51.528964
-189.884389,120,53.116972
-101.841746,79,54.601414
-346.423289,110,56.830075
-128.588852,67,58.20084
-155.219147,88,58.755675
-147.753847,76,59.155168
-139.210347,102,59.717115
-201.995081,75,60.11638
-151.348558,113,60.714354
-328.311984,122,61.3586
-131.230332,107,62.517332
-75.266938,93,64.4041
-143.493863,85,66.19418
-77.677446,101,68.213552
-159.506971,79,68.938346
-82.521617,72,78.453051
-78.562748,68,78.83515
-227.568904,88,79.310447
-122.834718,103,79.887437
-120.715862,98,80.410284
-119.571572,78,80.894026
-164.378919,115,83.259891
-278.937633,110,85.596107
-62.738005,74,87.124964
-231.151156,103,88.327489
-199.105774,117,88.958379
-123.588415,107,89.565563
-63.243212,73,89.955674
-173.045837,144,90.741561
-93.934773,72,91.147173
-84.079015,124,91.825059
-177.739385,128,92.523765
28.876252,88,93.97326
-209.697289,118,96.466931
-184.144274,77,98.1891
-121.79267,122,99.776305
-63.541558,79,103.294116
-382.253226,131,105.796515
-81.177538,136,108.583991
-69.719497,81,109.234071
-81.914566,107,110.543939
-92.558469,127,111.400787
-97.567587,117,112.082754
-74.803781,68,112.493365
-133.689061,107,113.076752
-210.57478,125,113.764956
-126.476822,106,114.420597
-93.342526,80,114.860022
-169.382233,91,115.402417
-19.711149,135,116.191602
-208.167679,105,116.866916
-95.821078,83,117.319944
-58.844293,65,117.72522
-99.829794,91,118.364138
-73.424606,130,119.376827
-146.252848,112,123.442
-248.800364,109,124.03234
-103.435206,85,124.464871
-53.592708,104,125.013011
-109.58273,109,125.596609
53.270492,77,126.063813
-72.746423,81,126.522243
-110.640113,127,127.285821
-175.627324,129,128.059489
-349.152259,172,129.074569
-163.017572,96,129.644548
-73.803356,91,130.190098
-128.637823,65,130.583978
-163.461313,129,131.383549
-110.92887,95,131.957596
-113.482929,103,132.512532
-395.918533,154,133.494356
-81.884416,99,134.208762
-273.660228,103,135.005101
-79.489914,71,135.62235
-105.732694,81,139.433535
-249.202931,94,140.04686
-187.202678,134,140.876391
-60.121285,87,141.405257
-66.830721,153,142.331396
-117.139841,161,143.311955
-190.152434,121,143.97398
-345.163392,95,144.484957
-266.613904,113,145.080555
-163.658648,137,145.799307
-111.158759,140,146.583158
-100.034958,120,147.235517
-56.299548,89,147.722397
-98.685207,70,148.103426
-217.263209,171,149.025728
-260.563841,108,149.617766
-65.624198,113,150.527925
-55.940639,90,154.664922
-79.310783,111,155.460114
-243.279409,122,156.204582
-262.391834,125,156.84839
-137.190146,101,157.371288
-22.13881,96,157.863147
-84.481912,108,158.415354
-53.222054,207,159.751149
-57.425849,161,160.815419
-294.916737,147,161.72436
-27.406186,89,162.261538
-91.476703,80,162.74973
-328.214596,164,163.639408
-45.623721,79,164.081581
-156.687114,121,164.76119
-136.33091,118,165.469145
-353.256465,167,166.491664
-59.246311,77,170.410187
-52.609956,124,171.499604
-41.996999,144,172.428621
-291.392217,126,173.165973
-255.28109,181,174.119245
-60.894177,150,174.899066
-331.288146,124,175.552145
-107.947476,151,176.338391
-323.837909,154,177.159995
-212.417501,175,178.11386
-262.983096,138,178.839513
-189.337724,104,179.396837
-51.958705,88,179.858543
-100.393933,136,180.57742
-323.554355,126,181.228837
-205.304991,133,184.889446
-89.591177,128,185.978148
-313.459987,235,187.636272
-67.583107,121,188.57029
-64.443975,101,189.236692
-284.196038,223,190.423254
-86.071601,92,190.926539
-152.647832,149,191.764258
-71.575502,111,192.503224
-208.845262,147,193.472293
-193.521785,117,194.259442
-183.637622,240,195.823697
-194.352697,119,196.640594
-51.876513,118,197.460475
-166.584667,118,200.916502
-43.098206,107,201.78158
127.828111,1000,208.996039
-352.783988,165,210.227426
-13.730492,135,211.219969
-200.948354,134,212.054153
-178.144704,199,213.23241
-124.198517,188,214.731393
-17.033282,92,215.514357
-281.517429,131,219.239016
-359.430245,122,220.34124
-75.794159,98,221.237368
-329.448236,141,222.282175
-19.567715,111,223.04814
-106.679607,148,224.085519
-241.625033,111,224.891922
-350.345016,209,226.205199
-191.305724,109,226.891102
-65.431427,179,227.978932
-236.976074,153,228.992237
-78.855432,115,229.780619
-238.575528,132,230.628076
-27.42097,109,231.298298
-69.707976,100,231.897663
-247.651602,150,236.020491
-131.177805,246,238.014028
-97.032796,193,239.226056
-193.484594,226,240.437747
-145.099749,149,241.238887
-79.222812,103,241.797998
-162.13038,112,242.405903
-83.022924,108,243.045501
-37.129761,114,243.742728
-79.528291,108,244.488638
-107.121702,134,245.393474
-125.429398,135,246.289409
-86.535943,115,246.95445
-110.187654,172,247.997025
-65.169014,91,251.584996
4.999443,116,252.510081
-75.607466,176,253.821717
-65.690191,208,255.073657
-157.013818,180,255.984114
-105.073193,201,257.177591
-54.798141,210,258.72413
-134.233888,221,260.037472
-150.075579,137,260.92974
-69.508841,109,261.633463
-72.701831,193,262.722009
-28.137251,137,263.480343
-133.892862,214,267.581369
-170.493426,132,268.705956
-83.166472,204,270.060068
-6.751588,190,271.302136
-134.886379,259,272.812323
-181.274749,201,274.023738
-61.444806,144,274.921808
-36.749132,125,275.674025
-177.177786,178,276.852159
-44.3252,165,277.885539
-314.322773,344,280.093926
-135.893488,359,285.852351
-63.36725,193,287.253851
-25.832164,111,287.980777
-38.529687,181,289.113183
-54.588348,189,290.360974
-191.376091,137,291.333345
-29.870789,141,292.254789
25.588433,145,293.124426
-82.254498,221,294.475775
-57.235559,192,295.674698
-190.170153,168,296.769887
-10.109736,123,300.814064
-5.753327,153,301.982309
82.864837,1000,308.493047
-226.906179,232,309.910395
-188.803331,239,311.334141
-45.447738,233,312.920611
-161.478616,196,317.103632
-243.830351,164,318.319616
-24.524713,140,319.271566
-100.454129,202,320.445466
-78.663141,333,322.530534
16.803417,174,323.717581
-57.797438,206,324.975205
-49.067072,279,326.653573
-167.046332,188,327.86787
-70.513212,485,334.091885
-156.123559,166,335.217082
-1.595113,198,336.424138
-95.685099,456,339.398222
-39.959798,174,340.394073
-21.802329,160,341.279748
-19.58477,326,343.116701
-37.58731,267,344.949991
-111.634404,369,350.099323
-42.247771,326,352.261005
-51.780161,206,353.392962
-169.537269,352,355.596063
-41.520231,206,356.98394
83.934001,1000,366.664401
-92.153741,173,367.81075
-56.826113,425,370.735169
78.980423,1000,377.340673
80.022626,1000,385.845051
-193.983435,176,386.815984
-99.897686,425,389.507513
-143.815803,323,391.486248
-33.378539,278,395.950931
-220.776264,330,398.282266
-77.6829,314,400.301169
-157.66462,250,401.802703
-94.84529,389,404.25565
-207.933285,294,406.506486
36.939077,1000,415.262183
-196.856952,425,417.573984
-74.579258,534,420.645356
-29.021464,187,421.934732
-190.216882,429,427.248308
-303.416553,665,431.600968
-76.257957,380,433.62946
-181.235212,979,442.434691
-183.267943,323,444.471712
-217.880024,432,446.801163
-107.89534,1000,452.33245
-246.251053,367,457.531462
-163.869431,260,459.391693
72.666188,1000,465.441399
-108.711775,1000,474.479024
22.303955,1000,485.617617
-97.708395,1000,494.739389
-56.144801,1000,501.597295
-159.290978,739,506.427377
-79.652917,1000,516.139084
-58.309656,1000,523.206875
-70.469768,1000,532.632408
-81.777581,1000,539.153213
-61.053058,1000,548.599341
-95.719565,1000,554.179819
-89.500756,1000,563.286471
-53.388646,1000,570.012897
-67.288639,1000,578.550424
-74.270356,1000,584.762874
-87.842856,1000,593.577167
-52.34698,1000,601.668389
-42.475039,1000,622.944272
-53.311424,1000,642.745368
-39.772357,1000,651.705292
-34.145696,1000,658.751633
-36.833001,1000,668.129946
-46.153735,1000,675.182871
-88.956445,1000,684.299655
-63.8844,1000,691.40425
-30.299977,1000,699.976039
-51.794416,1000,706.380277
-20.652668,1000,714.66893
-149.619496,781,730.565074
-162.79413,966,748.765728
-26.007605,1000,756.90747
-113.816362,868,763.152269
-5.716612,1000,771.890057
-55.220215,1000,779.091938
-40.920849,1000,787.723823
-64.789588,1000,794.972407
-87.702574,1000,803.435486
45.691743,1000,810.329382
-16.085855,1000,819.407491
-20.07803,1000,826.372972
-64.917059,1000,838.260006
-8.384544,1000,846.480862
-70.062362,390,851.822621
-73.058461,1000,857.906765
-123.312923,1000,866.639468
-142.129625,688,871.053058
119.014508,776,875.610357
-56.539865,1000,885.043682
-41.545475,1000,891.55554
-64.732414,1000,900.66508
-10.52305,1000,907.177754
9.1324,1000,916.326203
-75.749717,1000,922.971458
-79.522345,1000,932.384771
-0.474673,1000,938.311152
-22.074486,1000,947.960574
-5.615238,1000,954.377996
-41.503899,1000,963.77774
-60.039739,1000,970.421433
-45.943653,1000,980.468959
0.066716,1000,987.328089
-49.680078,1000,997.141546
-14.504913,1000,1003.59004
-18.796396,1000,1013.354699
-5.179488,1000,1019.788823
24.615224,1000,1029.465085
-130.414132,714,1033.517763
-56.330265,1000,1040.076384
-51.757944,1000,1049.243627
-69.497824,710,1054.256767
-48.666058,1000,1063.505217
-37.859393,1000,1070.229751
-43.46944,1000,1079.423078
15.587857,1000,1086.682877
-60.263256,1000,1095.649924
-33.586139,1000,1102.128179
7.254294,1000,1111.935875
25.88577,1000,1118.171734
97.919675,929,1126.898741
106.815012,978,1132.954656
-15.770366,1000,1142.367185
-0.742851,1000,1148.678738
138.538425,846,1154.008872
-29.953272,1000,1163.374587
-115.934081,945,1169.556208
38.413731,1000,1178.019611
31.842518,1000,1185.016488
126.143989,816,1193.472916
-25.668515,1000,1200.816708
-69.001377,1000,1210.825788
-115.174546,636,1215.679943
1.930838,1000,1226.606387
120.805264,872,1233.282906
-64.187585,1000,1245.05932
-39.10418,1000,1263.999211
-13.165779,1000,1270.466483
-161.919416,805,1279.338153
79.96836,895,1285.756722
128.100983,813,1294.385628
-148.633813,842,1300.836784
-184.087157,945,1310.921712
-43.243295,1000,1319.185222
63.87218,1000,1326.705398
37.199239,1000,1339.702184
-73.657784,1000,1348.93648
-36.842098,552,1356.697562
-99.181065,1000,1362.972723
34.405212,1000,1373.906846
140.570982,751,1379.742484
-90.52611,366,1382.055047
91.687209,1000,1392.766443
-72.112373,1000,1398.684984
-79.909439,1000,1408.564329
81.955343,1000,1423.630545
-63.180326,1000,1440.459827
-132.766234,945,1451.649519
-115.390301,429,1454.209911
-63.911913,1000,1487.052088
-104.905454,1000,1512.369715
-54.63322,1000,1550.813912
33.400426,1000,1576.220049
-69.267637,1000,1614.577358
-162.621922,761,1633.938163
-144.21707,745,1665.571997
-155.568133,746,1685.164397
-83.11737,733,1703.6438
-147.429069,937,1740.201945
-238.318461,923,1764.193772
-104.817836,465,1776.094129
51.691952,1000,1837.926583
58.04506,1000,1874.431268
-97.218168,715,1904.664954
104.995023,929,1928.38419
-6.293644,1000,1966.533907
-84.511374,231,1972.456841
59.675398,1000,1997.991426
-54.580224,1000,2036.258781
-85.097028,501,2049.025893
-87.196966,419,2059.600224
-30.138053,1000,2091.264492
60.937534,676,2095.946038
-190.246992,652,2100.618638
-51.580156,1000,2115.911088
-29.945932,1000,2127.385566
-135.228873,653,2139.826094
19.857014,1000,2146.705029
71.760787,1000,2157.788064
-96.316438,545,2162.583739
22.26406,1000,2169.64161
58.450581,1000,2187.09837
146.72258,632,2191.580914
-26.978862,1000,2204.123489
-139.313869,584,2208.066918
46.135839,1000,2214.814844
38.647081,1000,2225.844996
43.28191,1000,2232.506342
29.568997,1000,2268.170867
25.475083,1000,2293.831607
181.925295,827,2327.399633
32.114114,1000,2352.503838
108.806761,703,2362.489679
110.113125,879,2368.671974
-101.960542,398,2371.464447
120.589711,777,2382.018343
102.888642,802,2387.614512
-52.511976,259,2389.563042
-52.530107,410,2392.716612
-211.383523,905,2402.320148
-140.360569,668,2406.552413
-3.39468,1000,2424.442163
-95.143456,585,2428.59793
-64.68913,218,2429.995397
-82.847097,1000,2439.19996
-86.788253,608,2450.293548
35.577299,1000,2458.453507
-82.902292,141,2459.486399
-177.435725,703,2466.990003
94.077267,709,2472.331327
-80.327902,1000,2482.325737
7.977791,1000,2489.556818
-85.530893,231,2491.277447
-133.593154,701,2496.123636
129.383717,933,2505.66407
105.537546,719,2511.40337
121.84372,945,2521.751158
119.826722,709,2527.737695
65.622559,1000,2536.737295
-59.176396,1000,2544.424612
-43.034699,1000,2554.136125
-165.763172,683,2559.437504
-98.858855,507,2563.426155
-86.043861,377,2565.913
117.273766,690,2574.192998
-96.447855,568,2579.020036
-24.749586,1000,2586.989355
20.104123,1000,2596.923052
164.137998,809,2607.014487
-71.733015,260,2613.804507
-78.268832,190,2630.892966
-122.566289,565,2649.478201
158.45281,702,2676.158355
172.30288,505,2696.209441
-70.261467,1000,2759.012433
50.779836,1000,2800.171365
-149.994453,958,2859.936275
-136.479482,975,2890.086499
51.596617,1000,2928.254515
149.241307,782,2948.225412
-143.729872,851,2982.062825
76.75897,988,3007.686306
156.870241,777,3027.753681
-88.633745,185,3044.750007
-73.992814,269,3051.739078
32.127128,1000,3077.399065
-82.751323,488,3090.118814
160.936672,690,3120.893387
-170.428654,905,3146.79586
-120.300953,562,3170.047876
-110.769494,749,3218.020635
172.640635,798,3238.42538
-85.373219,764,3270.71681
161.286063,663,3288.012651
-58.684004,1000,3314.360851
-173.658588,662,3344.959091
-58.904124,1000,3369.263503
-80.915262,212,3374.811562
157.607075,864,3409.630968
-80.538836,403,3420.103575
127.125197,897,3445.684754
-93.358579,124,3450.262922
-69.782236,178,3456.769093
151.750425,611,3501.14113
-67.960219,286,3512.886756
-34.922906,1000,3554.175127
-98.64332,295,3587.729722
171.712555,697,3616.523132
-66.914174,284,3628.19439
-9.941162,1000,3678.739718
-27.895687,1000,3706.645153
169.774788,810,3728.278102
-69.127535,303,3748.620785
153.879968,843,3770.667282
-72.51861,180,3775.284553
-88.405569,192,3780.211829
18.682884,1000,3817.260431
-117.201465,402,3827.909113
-103.098579,606,3843.084431
142.725941,631,3859.440989
-64.588706,1000,3900.680764
101.754068,717,3905.508644
