#{"t_start": 1670800668.911568, "env_id": "LunarLander-v2"}
r,l,t
-261.128665,106,3.077656
-125.300828,88,3.578186
-108.009143,111,4.174538
-211.602466,105,4.738024
-165.551702,111,5.338039
-409.340549,100,5.879394
-351.404096,98,6.468432
-199.411661,123,7.217775
-103.856042,99,7.860431
-171.561041,80,8.388034
-153.246952,119,9.116857
-137.190228,85,9.608718
-228.501622,71,10.028299
-244.177743,91,10.554054
-247.911706,115,11.246543
-395.495339,109,11.909436
-176.792955,103,12.49579
-152.217243,98,13.066538
-160.978839,58,13.401178
-338.153356,85,13.876582
-300.323639,94,16.984313
-414.483414,81,17.424294
-99.250062,110,18.022541
-105.702737,69,18.390486
-117.853573,108,18.985111
-456.69791,86,19.453763
-51.759505,100,20.02811
-97.824437,98,20.626471
-118.566438,96,21.230899
-88.908934,56,21.593868
3.755572,107,22.290595
-99.664957,97,22.92489
-396.965052,109,23.617384
-107.512013,114,24.323811
-309.801068,77,24.781383
-88.320877,124,25.511486
-282.435643,117,26.136885
-292.211831,82,26.592892
-176.558103,63,26.940153
-52.499639,90,27.432857
-119.918051,92,27.933376
-85.542946,64,28.290133
-106.781094,124,31.51074
-136.542245,64,31.86057
-159.592815,115,32.47602
-149.528168,113,33.080768
-158.30039,70,33.451524
-310.757157,119,34.133687
-202.935882,78,34.620284
-63.105645,69,35.044295
-223.331801,94,35.630805
-144.625471,122,36.441412
-113.91676,96,37.071438
-73.811015,66,37.505019
-180.675695,114,38.216637
-93.834548,74,38.666382
-241.585388,108,39.303795
-101.904623,64,39.648972
-355.150515,84,40.096252
-90.586601,70,40.488248
-400.260646,112,41.094308
-95.253795,63,41.434408
-89.303873,68,41.786909
-136.734357,90,42.280095
-119.5789,81,42.720189
-117.241726,75,43.126295
-467.534854,93,46.361879
-123.764021,115,47.005914
-100.766703,111,47.63839
-139.873508,55,47.959648
-87.21348,71,48.40656
-123.245062,93,48.992352
-371.977544,91,49.587183
-180.09366,76,50.08574
-143.361437,88,50.691903
-140.119527,92,51.327995
-303.488036,89,51.901989
-116.068816,93,52.503039
-228.791656,113,53.216536
-95.768103,63,53.599994
-171.156251,61,53.942177
-109.615795,66,54.310537
-267.103231,95,54.83854
-60.258069,78,55.284409
-275.521253,109,55.887302
-133.264214,93,56.413249
-93.636589,83,56.887605
-291.254162,120,57.579431
-81.76496,83,58.071
-170.969858,118,61.724401
-76.811447,68,62.107481
-179.466762,82,62.58645
-202.35908,89,63.13508
-126.224092,87,63.692868
-1.64766,99,64.319001
-325.566106,92,64.938285
-193.498573,77,65.464975
-325.116446,100,66.11062
-140.948704,80,66.614257
-190.839333,75,67.093474
-437.521983,121,67.852291
-128.178,65,68.247181
-168.000508,95,68.805593
-97.483421,80,69.244615
-58.608318,130,69.963164
-107.206847,123,70.647812
-102.285098,65,70.99714
-122.473997,81,71.44961
-101.250936,94,71.96844
-310.221298,140,72.808942
-101.262808,114,73.498825
