#{"t_start": 1670715097.604542, "env_id": "LunarLander-v2"}
r,l,t
-227.261441,121,6.222229
-101.055994,91,6.793953
-268.829784,93,7.33658
-379.913862,109,7.94506
-99.188139,65,8.307758
-150.1979,100,8.957568
-122.891811,70,9.408778
-381.909724,82,9.890012
-231.175006,68,10.326437
-192.207605,100,11.06732
-265.159599,59,11.488205
-172.785821,70,12.013438
-106.277004,86,12.693297
-397.728441,129,13.606909
-133.93319,100,14.328657
-189.063864,92,14.99401
-111.880616,93,15.664483
-455.07369,107,16.434233
-373.31839,78,16.987156
-77.556634,70,17.526226
-56.861248,114,18.487913
-54.292118,75,19.191567
-227.176416,83,23.169448
-119.480077,74,23.589956
-77.422382,109,24.19278
-268.731807,88,24.689774
-177.791696,92,25.200818
-132.470323,69,25.588018
-226.882519,95,26.19153
-347.829375,78,26.643673
-127.141614,72,27.046648
-84.57187,57,27.370918
-255.53849,82,27.858659
-248.054789,105,28.510796
-155.951136,130,29.292081
-146.068708,100,29.901584
-110.183975,72,30.348761
-89.891021,101,30.955581
-70.912968,61,31.327423
-112.400593,60,31.670901
-176.904667,107,32.313998
-143.637344,72,32.688631
-85.119339,60,33.051124
-155.571762,97,33.64248
-111.439495,61,34.055477
-62.286488,65,35.046505
-101.072773,92,37.104748
-130.176416,117,43.505097
-57.888745,111,45.368822
-66.919321,73,46.87776
-321.768534,115,49.257979
-107.727479,64,50.188561
-158.493874,124,50.844344
-222.702656,98,51.379115
-138.252281,84,51.840025
-319.424309,100,53.623753
-172.774689,85,55.416572
-275.814261,90,57.235525
-102.279888,80,58.431763
-118.134983,71,58.80244
-117.707115,92,59.29521
-351.718893,140,60.098016
-442.585919,96,60.625108
-156.519707,102,61.155707
-126.657911,87,61.618538
117.285821,1000,82.753382
-93.809429,73,84.342609
7.00412,93,86.20589
-131.202514,90,88.039138
-99.272909,98,88.590375
-76.371641,79,89.017906
-110.018222,94,89.533783
-281.203414,86,89.999037
-183.15965,81,90.425586
-85.715392,83,90.862903
-153.523709,148,91.650581
-268.228251,109,92.239225
-290.839091,86,92.8108
-80.898528,76,94.458363
-142.275751,102,96.620744
-168.316351,99,98.799034
-103.933301,102,102.926097
-199.647662,133,104.544988
-44.993607,81,106.185402
-113.540623,100,108.118712
-118.432949,94,109.187618
-221.100815,83,110.076372
-273.563081,144,111.288953
-50.424793,82,111.744652
-155.805096,95,112.27728
-146.688746,58,112.605527
-111.89043,143,113.401494
-382.566708,111,114.02914
-110.817326,123,114.764816
-19.412315,88,115.294503
-77.630582,82,115.862157
-88.147646,119,116.708691
-138.571325,89,117.328498
-45.252005,90,118.013659
-174.277838,88,118.749937
-58.930148,75,119.441859
-315.243419,115,123.607292
-56.386582,90,124.157572
-213.064215,144,125.023212
-72.792873,123,125.782385
-56.171922,73,126.227163
-180.273301,116,126.936677
-88.593459,78,127.412085
-179.237465,134,128.234208
-64.250153,154,129.143926
-82.005993,75,129.60119
-52.117379,148,130.511975
-305.407064,152,131.445589
-31.695558,98,132.013369
-118.664396,90,132.5335
-53.904741,72,132.969087
-160.90414,100,133.550154
-197.219657,150,134.639707
-219.578613,129,135.810883
-59.104071,77,136.559719
-59.284634,137,140.386724
-121.008971,164,141.377228
-122.839709,131,142.165909
-99.718783,79,142.64094
-77.843409,84,143.146924
