#{"t_start": 1670800047.9667654, "env_id": "LunarLander-v2"}
r,l,t
-54.044842,108,3.002665
-291.132204,119,3.62907
-130.060004,90,4.087573
-129.194344,82,4.505893
-349.671183,95,5.00363
-279.015197,107,5.5892
-13.20262,96,6.097277
-451.70537,111,6.712416
-173.3843,100,7.280843
-102.213532,81,7.73139
-165.253847,76,8.150836
-57.539203,75,8.548144
-127.897601,87,9.010626
-97.545191,70,9.34948
-163.404589,68,9.691283
-13.517961,85,10.113081
-368.72078,89,10.558572
-296.734873,83,10.978148
-101.38803,62,11.293023
-245.060328,71,11.648268
-329.175407,113,12.261966
-130.14213,83,12.735984
-225.05591,111,15.552051
-223.722486,119,16.161053
-151.567608,100,16.659656
-204.995609,70,17.004744
-210.91508,83,17.419371
-239.520445,86,17.826614
-299.811623,134,18.522701
-54.159796,86,18.981619
-82.20337,124,19.644538
-229.433604,111,20.275089
-132.065553,88,20.782807
-94.092911,145,21.568457
-254.801705,102,22.1033
-233.111161,94,22.582173
-71.997137,92,23.027829
-215.395685,105,23.542525
-164.431987,71,23.894261
-106.21944,73,24.243328
-106.366302,98,24.731776
-135.015575,85,25.186644
-138.127224,65,25.536855
-282.254125,156,28.834106
-211.797263,104,29.346341
-363.054644,123,29.955495
-270.559802,105,30.466456
-116.224181,77,30.849695
-158.588593,67,31.18504
-328.833393,75,31.563951
-117.707741,76,31.97786
-226.902084,77,32.398519
-499.084557,128,33.099297
-263.925295,98,33.663579
-285.119,104,34.216845
-383.336969,119,34.861476
-153.803271,114,35.452509
-88.82147,119,36.032341
-187.177285,69,36.379744
-122.369256,98,36.860924
-363.279286,106,37.389749
-298.277273,99,37.90002
-392.917488,103,38.448117
-377.155412,105,39.027486
-290.364159,79,41.447591
-96.258573,99,41.932576
-98.936913,85,42.348628
-71.311051,106,42.873657
-119.191203,108,43.404883
-423.802525,125,44.017904
-130.244062,104,44.535574
-83.046517,111,45.137643
-383.422794,114,45.755315
-406.50309,107,46.353598
1.821571,104,46.945506
-408.362224,116,47.576154
-231.320774,74,47.966577
-76.832507,68,48.325732
-87.010253,71,48.691733
-354.891626,127,49.310805
-211.053938,120,49.891842
-87.24111,96,50.353715
-84.541343,71,50.705006
-156.108042,90,51.178979
-180.069843,94,51.694083
-122.92863,137,54.441994
-309.614071,100,54.942985
-85.425541,79,55.325089
-73.789301,72,55.69175
-292.946425,136,56.369555
-124.210285,95,56.834622
-113.808693,105,57.350038
-89.749687,87,57.804567
-66.514757,72,58.191943
-74.770488,73,58.580945
-250.339328,141,59.348303
-144.233266,136,60.12519
-183.557464,78,60.547
-130.498563,72,60.934488
-87.614151,87,61.394445
-349.125413,153,62.154017
-91.090552,90,62.588499
-76.45972,87,63.020935
-101.098957,72,63.382255
-91.588278,75,63.745794
-161.215513,118,66.515751
-217.418828,111,67.084089
-242.198211,139,67.758362
-255.803513,151,68.512276
-291.405328,102,69.023003
-15.855903,73,69.376783
-293.762637,93,69.828017
-197.77064,126,70.446892
-241.642576,122,71.075518
-160.657901,130,71.766205
-162.513591,94,72.278787
-80.475171,114,72.944238
-145.642978,113,73.567017
-182.109148,127,74.255047
-47.602809,120,74.877416
-83.588265,70,75.229173
-129.440314,93,75.682769
-6.580991,149,76.421132
-142.812478,118,79.16722
42.836948,83,79.604048
-137.579577,99,80.088526
-104.87044,122,80.687379
-95.707155,82,81.087181
-77.512929,137,81.76774
-108.262097,59,82.054635
-316.089815,149,82.794363
-40.449775,71,83.143295
-89.085884,85,83.565529
-213.697667,103,84.075129
-41.396071,154,84.906905
-168.625263,132,85.652964
-235.249799,79,86.10187
-196.110387,118,86.754199
-109.859811,127,87.434034
-79.923927,111,88.004153
-35.077877,71,88.356718
-367.25356,147,89.07975
-100.216555,105,89.595656
-126.777093,183,92.680386
-70.062334,137,93.360276
-174.74126,111,93.899371
-25.265619,125,94.527014
-106.433034,102,95.028288
21.484428,129,95.677728
-260.761753,121,96.290441
-42.898975,86,96.716329
-188.585519,92,97.176418
-59.12025,64,97.515285
-82.356012,81,97.94394
-58.526923,73,98.353036
-282.557797,144,99.161464
-96.473475,77,99.598376
-118.064597,86,100.075395
-195.814742,120,100.717618
-263.198873,104,101.253419
-47.946534,155,102.027955
-82.000729,96,104.561004
-67.538299,77,104.971154
-89.113383,131,105.677202
-180.57163,102,106.194268
-234.414187,121,106.792087
-92.40311,93,107.257152
-59.661619,92,107.715075
-79.997296,116,108.290499
-112.433042,69,108.627687
-98.611901,85,109.049456
-44.679622,101,109.551433
-181.388667,128,110.189274
-90.377012,137,110.915781
-3.319587,134,111.645557
-113.873188,110,112.271819
-191.470789,120,112.933559
-99.715042,143,113.701597
-57.882271,88,114.172202
-91.204322,132,114.817248
-176.740995,125,117.947566
-78.015674,169,118.961129
-55.103807,86,119.406631
-186.212556,149,120.14188
-57.979002,112,120.696604
-151.855924,158,121.504733
-204.730192,116,122.090482
-229.172561,115,122.670023
-42.521015,101,123.185956
-209.456478,118,123.800199
12.075871,109,124.405599
-59.87171,98,124.961076
-121.451411,108,125.6104
-105.116738,117,126.268554
-90.79068,128,126.951563
-293.730175,170,127.815483
-122.75095,103,128.336739
-70.351255,174,131.261082
-122.755622,135,132.009225
-184.243593,240,133.252458
-51.097523,132,133.916411
-70.09551,121,134.513633
-67.200872,78,134.909093
-97.849671,186,135.841016
-85.854101,136,136.524342
-111.934762,116,137.147113
-54.597222,153,137.98852
-221.676928,179,139.045043
-183.315367,116,139.69553
34.950475,1000,146.999905
-31.83301,91,147.479454
-56.052699,167,148.321787
-132.350694,156,149.110108
-45.422165,102,149.627039
-69.096475,114,150.242817
-197.351122,135,150.988362
-220.28219,127,151.72459
-18.892953,111,152.36401
-49.864467,117,153.004036
-403.169645,203,154.047965
-65.929139,159,156.820981
-177.993833,187,157.845457
-68.350964,198,158.895171
22.622509,98,159.389313
-146.761826,259,160.697462
