#{"t_start": 1670826767.0883584, "env_id": "LunarLander-v2"}
r,l,t
-166.939974,85,71.540911
-117.231035,86,71.787318
-287.527324,108,72.118866
-329.897549,91,72.390786
-249.040689,79,72.647925
-170.772145,60,72.831246
-218.809491,104,73.141774
-199.09787,86,73.406546
-90.55631,65,73.605607
-236.104368,104,73.914495
-244.910858,101,74.211841
-257.340878,103,74.519166
-175.258329,68,74.722695
-494.015079,99,75.024317
-337.184445,68,75.229003
-158.77819,113,75.569885
-417.982608,104,75.879619
-122.217407,66,76.076153
-134.282921,57,76.247329
-150.555302,64,76.445669
-111.329108,74,76.668915
-115.024051,85,76.917351
-212.334676,126,77.305959
-529.080731,102,77.606284
-134.7091,76,77.838198
-125.329653,100,78.146256
-91.188681,67,78.344072
-442.037502,142,78.780416
-211.042113,75,79.023266
-118.628679,91,79.330601
-437.501687,95,79.659837
-205.843851,148,80.168395
-199.435398,88,80.465139
-385.794973,84,80.7857
-322.679536,117,81.133742
-443.792116,111,81.463696
-377.171836,109,81.78789
-219.053165,60,81.966569
-180.374776,64,82.155537
-88.38063,81,82.394476
-65.431848,60,82.572915
-395.505574,109,82.886458
-329.979877,102,83.190349
-94.659177,68,83.391866
-342.143026,90,83.657173
-107.411465,112,83.979216
-117.509968,70,84.186279
-269.36385,97,84.490844
-264.831758,109,84.813294
-146.120051,93,85.09168
-119.073134,66,85.287155
-393.422611,96,85.565887
-117.301561,73,85.774039
-173.947011,56,85.940096
-560.886361,115,86.2686
-234.240506,82,86.507609
-377.139427,103,86.797829
-164.437882,98,87.076864
-238.748561,111,87.39355
-441.571036,91,87.654812
-296.79472,110,87.963171
-270.760123,106,88.270905
-302.739297,99,88.557453
-250.79407,87,88.806357
-434.84609,91,89.06974
-288.102493,70,89.275592
-132.886347,64,89.464876
-169.530968,83,89.69987
-195.301496,99,89.986575
-147.326172,73,90.200115
-118.269358,80,90.431412
-278.226001,77,90.650524
-314.136614,116,90.984531
-584.443963,146,91.406337
-129.804536,70,91.609607
-361.966356,120,91.956086
-312.357816,80,92.189023
-189.556825,111,92.509894
-426.476208,101,92.802077
-229.845035,102,93.098752
-442.855045,110,93.447727
-224.168896,79,93.718624
-209.019236,109,94.071052
-437.107109,118,94.425671
-151.973414,81,94.695617
-290.687868,117,95.113712
-177.718322,103,95.431409
-325.115553,143,95.847949
-312.74978,115,96.187172
-359.002103,113,96.518122
-536.259005,103,96.866001
-163.770998,96,97.163246
-121.610002,67,97.385859
-131.779102,77,97.645877
-84.220284,84,97.933038
-190.115954,83,98.213662
-428.824627,124,98.588228
-313.938516,127,98.999427
-91.095923,76,99.233707
-99.266594,81,99.492556
-358.757281,98,99.841423
-366.491864,112,100.237324
10.208632,73,100.458398
-174.886961,95,100.742093
-293.643711,105,101.095947
-235.211388,74,101.354037
-463.359119,90,101.655016
-138.421209,95,102.013824
-206.162435,65,102.244865
-190.296301,68,102.483004
-231.133382,70,102.722939
-85.191771,66,102.944781
-156.442232,84,103.239552
-228.761573,68,103.464854
-164.561425,74,103.714995
-379.002633,111,104.071362
-164.13341,105,104.378976
-185.077436,71,104.593676
-214.827307,117,104.972593
-324.677638,112,105.331592
-513.235968,101,105.638248
-116.929763,65,105.834952
-120.618602,73,106.053366
-247.539836,126,106.4348
-536.219956,105,106.748207
-148.983499,65,106.944397
-393.216936,97,107.240736
-441.343135,122,107.608904
-180.734325,119,107.961359
-232.899887,76,108.224101
-130.771273,72,108.43956
-344.213434,68,108.641023
-162.44045,95,108.918528
-517.009672,108,109.285934
-126.911989,75,109.539305
-250.848628,76,109.780868
-240.478696,96,110.093689
-326.216286,83,110.340839
-342.727285,96,110.627626
-232.107441,88,110.896351
-230.81194,96,111.251657
-356.175709,85,111.536725
-44.547943,67,111.749439
-611.602106,124,112.141124
-624.382305,136,112.584672
-162.964649,87,112.881988
-214.111307,116,113.229083
-143.670811,100,113.526004
-451.934781,102,113.8383
-335.118786,85,114.091052
-236.401033,104,114.419525
-168.331781,82,114.666307
-96.716444,57,114.857399
-147.798486,76,115.103985
-170.49889,66,115.309238
-156.660599,84,115.577604
-303.853633,116,115.944393
-203.829728,95,116.261747
-196.340943,71,116.508631
-394.314347,79,116.779985
-142.332024,83,117.040633
-111.987779,73,117.255463
-97.659441,65,117.445435
-700.492405,117,117.792678
-208.428818,78,118.03835
-158.5833,79,118.299638
-494.747086,128,118.694754
-182.565529,89,118.994931
-124.453829,83,119.244164
-360.683111,79,119.492622
-477.698534,102,119.82832
-430.052485,89,120.195561
-259.081215,64,120.467031
-123.776729,71,120.714677
-196.317998,87,121.002981
-293.223008,112,121.372799
-333.801076,109,121.763128
-307.467297,135,122.242568
-345.33286,101,122.600955
-133.558068,67,122.838814
-414.16735,76,123.095846
-467.543887,109,123.429491
-82.710783,59,123.629765
-231.766498,122,123.997821
-11.138075,73,124.21926
-226.561047,71,124.442206
-114.709488,73,124.674134
-311.930554,77,124.912686
-331.721922,96,125.204711
-309.742978,71,125.419779
-113.485944,99,125.765041
-527.381962,103,126.124281
-143.22296,87,126.454205
-126.095862,61,126.667577
-154.95549,84,126.957636
-572.053156,129,127.425153
-188.419861,110,127.833148
-417.502224,108,128.221725
-136.964133,60,128.426662
-206.026107,78,128.666189
-216.592607,76,128.903914
-192.983322,143,129.363106
-559.788803,95,129.676798
-141.00827,74,129.890352
-119.368575,87,130.179554
-187.191533,108,130.557544
-299.846777,132,130.983086
-263.253478,117,131.384543
-211.238166,118,131.749128
-145.264133,67,131.953237
-148.840816,97,132.246938
-99.590602,83,132.495412
-166.924529,94,132.780033
-133.537677,64,132.971316
-358.033342,89,133.230124
-168.358543,104,133.536112
-415.400643,91,133.818849
-285.521879,87,134.092298
-61.917997,115,134.444494
-83.499556,85,134.694082
-158.946796,86,134.955647
-209.948251,97,135.262753
-113.687121,87,135.549227
-83.807928,64,135.744311
-115.161349,84,135.983194
-281.751054,77,136.212239
-288.168769,87,136.472838
-164.487487,96,136.755023
-451.090402,137,137.172934
-383.556738,76,137.396545
